global_problem_id,source,model_name,CompStatus,CSRBinary,TestsAvailable,ValgrindStatus,UBStatus
LC_938,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_3132,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2030,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2603,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2146,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_770,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_912,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2551,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1996,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1263,LeetCode,openai/gpt-oss-120b,Fail,0,0,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1842,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_314,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_545,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
MD_prob_050,Mendeley,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_623,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2197,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1042,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_3476,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_270,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2813,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1738,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2074,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2326,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_3229,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2307,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_103,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_26,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_735,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_167,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2415,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1388,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1498,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2565,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3455,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1792,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_444,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3462,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2617,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2714,LeetCode,openai/gpt-oss-120b,Fail,0,0,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_16,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_501,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_443,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_506,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_692,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2452,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_870,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2434,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2332,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3372,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1631,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2122,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1836,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2959,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2289,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_3221,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2163,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3217,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3296,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3286,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1602,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2019,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1448,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2077,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_14,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_556,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1439,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_682,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_102,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3493,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_15,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_3076,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1728,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_21,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1721,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_925,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1526,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1754,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1325,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1003,LeetCode,openai/gpt-oss-120b,Pass,1,0,No Tests Available,No Tests Available
LC_987,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1642,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_765,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_889,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
MD_prob_011,Mendeley,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_3400,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1161,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_720,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_666,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_83,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1768,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_3004,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1273,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1878,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1557,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_24,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
MD_prob_019,Mendeley,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2231,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_851,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2322,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_111,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_621,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_591,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3275,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_440,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_997,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_445,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2863,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_20,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2456,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_880,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1707,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_792,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2589,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_439,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_567,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1700,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2508,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1102,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2367,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1485,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1755,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_522,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_853,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_451,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2858,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
MD_prob_014,Mendeley,openai/gpt-oss-120b,Pass,1,0,No Tests Available,No Tests Available
LC_366,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_230,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_814,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_88,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_965,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2699,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2375,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1462,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
MD_prob_003,Mendeley,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_386,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1368,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_457,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2673,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1471,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2903,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1740,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Undefined Behavior Detected
LC_797,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2924,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2593,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1499,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2282,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_834,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1123,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_18,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_212,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1163,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_680,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1167,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_947,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2337,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1316,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1609,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_150,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_261,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2392,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3403,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1438,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2932,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1653,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1178,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1203,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_408,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1944,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1902,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3092,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_856,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2856,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_3422,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_394,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1190,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2050,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1302,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_758,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2911,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_743,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1686,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_2945,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1124,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_778,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2386,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1519,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2773,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_32,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_332,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_3157,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1096,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1985,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_239,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_2416,LeetCode,openai/gpt-oss-120b,Pass,1,0,No Tests Available,No Tests Available
LC_147,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_3341,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2127,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2641,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1466,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1081,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Undefined Behavior Detected
LC_532,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_156,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_259,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_3266,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1338,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_369,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_962,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_1376,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_917,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_186,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_310,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
MD_prob_012,Mendeley,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1791,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_882,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_2,LeetCode,openai/gpt-oss-120b,Pass,1,1,Pass,Pass
LC_1962,LeetCode,openai/gpt-oss-120b,Pass,1,1,Memory Leak/Error Detected,Pass
LC_753,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
LC_1135,LeetCode,openai/gpt-oss-120b,Fail,0,1,Skipped (Did Not Compile),Skipped (Did Not Compile)
